FeatureID,FeatureName,Fibroblasts Average,Fibroblasts Log2 Fold Change,Fibroblasts P-Value
ENSGACG00000006511,col1a2,4.653945860757616,12.506517348378086,8.162088267049486e-50
ENSGACG00000019806,dcn,11.98837806869616,11.959423033247374,8.162088267049486e-50
ENSGACG00000020298,pcolcea,13.853064223256808,12.241328057840619,1.9355654291801089e-47
ENSGACG00000005143,col1a1a,2.734873026688949,12.760588356020317,8.643782771378821e-43
ENSGACG00000004515,ENSGACG00000004515,19.73459513576685,11.722300985638885,6.679412392810633e-39
ENSGACG00000006673,rbp4,5.477515579021901,11.595002290302341,6.976302940512183e-38
ENSGACG00000003361,col1a1b,4.164465745185446,11.48783278511316,1.7033105783158375e-37
ENSGACG00000012518,col6a2,1.950150936644677,11.334050152373322,2.641815194852298e-36
ENSGACG00000006921,ENSGACG00000006921,6.51086248967426,11.270677117233232,6.826861409759928e-35
ENSGACG00000003661,FBLN1,1.7015261160365907,11.965948967015384,5.515769691453734e-34
ENSGACG00000006905,c7a,4.156696219541443,11.844686084272661,5.47603100121597e-33
ENSGACG00000011970,ENSGACG00000011970,6.549710117894273,11.835299114306512,4.4231166216198537e-32
ENSGACG00000019945,ptn,5.112347873753775,11.40304645330314,2.1332582583841894e-31
ENSGACG00000003205,selenbp1,1.6782175391045826,10.553823063156443,8.523700364058287e-30
ENSGACG00000018299,si:ch211-156l18.7,9.237965990719207,11.774895974988715,9.806680782709604e-29
ENSGACG00000015825,aldh1a2,1.2975107825484504,9.728909769714535,3.9769219508994253e-25
ENSGACG00000002475,ptgdsb.1,7.388818887446565,9.66324285206554,2.6220016331506586e-23
ENSGACG00000014744,gstt1a,1.1731983722444073,9.61489350942288,1.4220167786914985e-22
ENSGACG00000012231,ENSGACG00000012231,6.324393874218195,9.440771666178236,1.5863355065389023e-20
ENSGACG00000004517,alpl,1.1654288466004046,9.924743125287979,3.4854555553033036e-20
ENSGACG00000019128,ENSGACG00000019128,2.944650219077022,8.768033926569627,9.142450033476587e-20
ENSGACG00000004482,stmn4,1.2897412569044477,10.203721113668921,4.17049177963163e-19
ENSGACG00000002997,ENSGACG00000002997,2.688255872824933,8.800650958124466,7.252030175229959e-19
ENSGACG00000003398,icn,4.995804989093734,8.692775983660821,8.789093079839815e-14
ENSGACG00000007933,c4b,6.4176281819462275,7.809705363566801,2.750690690854955e-13
ENSGACG00000001880,slco2b1,1.2120460004644207,7.534351556574813,1.8318517557920762e-11
ENSGACG00000008834,steap4,2.975728321653033,8.465771006034778,6.335371192243541e-11
ENSGACG00000004210,nid1a,1.157659320956402,7.116950536615361,8.470779773779574e-10
ENSGACG00000013002,ENSGACG00000013002,2.152158603388747,8.007072918842988,4.51825316865497e-09
ENSGACG00000003457,fabp11a,1.1498897953123992,6.959156960241383,6.311034955031168e-08
ENSGACG00000001423,PLA1A,2.8047987574849738,6.461881713150502,2.681024680320063e-07
ENSGACG00000004701,ENSGACG00000004701,2.5484044112328847,7.476143699334568,3.7358827174127657e-07
ENSGACG00000019081,ENSGACG00000019081,1.8258385263406338,8.027216624004687,5.648924557951573e-07
ENSGACG00000011445,proza,1.18096789788841,5.9605812720292475,2.314576891587265e-05
ENSGACG00000011546,anxa1a,1.8802252058486526,5.042505313960268,0.0029284238019296675
ENSGACG00000015164,ENSGACG00000015164,4.661715386401618,5.000385544422642,0.0038932967245758035
ENSGACG00000002393,ENSGACG00000002393,1.4917489236485177,5.158293737222074,0.007256445606588092
ENSGACG00000017697,ENSGACG00000017697,2.898033065213006,3.7919779579114596,0.09256568010008713
ENSGACG00000006492,cpn1,1.0877335901603775,3.776282099831101,0.09776123070191672
ENSGACG00000014833,ENSGACG00000014833,1.616061333952561,3.4320045371966765,0.167891798920625
ENSGACG00000004690,si:ch1073-406l10.2,4.164465745185446,3.4362639551942697,0.16796485120184843
ENSGACG00000003021,klf2a,1.0100383337203507,3.123142822309477,0.25356554858022334
ENSGACG00000004652,ENSGACG00000004652,4.172235270829448,3.044893368767099,0.2718321136287902
ENSGACG00000003794,krt8,4.164465745185446,3.0518561869759915,0.27279721835284804
ENSGACG00000009622,slc4a1a,1.025577385008356,3.077480360235009,0.27846570648382085
ENSGACG00000003509,ENSGACG00000003509,2.051154770016712,2.8941982359411833,0.3251367774037966
ENSGACG00000016901,ENSGACG00000016901,5.61736704061395,2.5223428306494196,0.45385023959173904
ENSGACG00000008514,ENSGACG00000008514,1.9812290392206877,2.322300602285577,0.5251366843259182
ENSGACG00000009171,ENSGACG00000009171,1.4529012954285043,2.2813355554713244,0.5404521686973809
ENSGACG00000003403,ENSGACG00000003403,1.8025299494086258,2.271972280464934,0.5426054190275699
