FeatureID,FeatureName,Platelets Average,Platelets Log2 Fold Change,Platelets P-Value
ENSGACG00000002393,ENSGACG00000002393,9.24582282756873,11.203468282991656,2.345498865183799e-108
ENSGACG00000005985,tagln,3.831291696324086,11.701714618310463,2.7762017974711704e-95
ENSGACG00000006204,ENSGACG00000006204,2.0707688410080696,10.547357501432836,1.5343280559519098e-76
ENSGACG00000004588,boka,1.14003088393191,10.388101791635105,3.198594483366465e-68
ENSGACG00000019168,myh11a,1.0070683186353158,10.402245973955374,8.951686288142286e-68
ENSGACG00000019471,rbpms,1.2951538767779367,9.24265635185318,6.843759655201066e-52
ENSGACG00000016865,TPM4,1.6669566056628575,8.904043529033157,9.147188791898784e-50
ENSGACG00000019128,ENSGACG00000019128,1.088323219649901,7.48586484458707,1.0789373413611442e-22
ENSGACG00000018028,spock3,1.5561544679156958,6.636510141099509,2.0338979501675042e-19
ENSGACG00000018844,fgl2a,1.501984533905972,6.574721535924776,1.7731067513506816e-18
ENSGACG00000010218,gata1a,1.9279571968006166,5.289027768476831,8.909506143336105e-09
ENSGACG00000006153,rap1ab,3.1172334752868207,4.513703842356764,7.267085428806231e-05
ENSGACG00000008037,zgc:56095,3.942093834071248,4.154243980135702,0.001081556329267423
ENSGACG00000005413,rhoca,1.2976161465056513,4.053503451468214,0.0012094767380641407
ENSGACG00000018584,tln1,2.23820318249267,3.904105345600198,0.004988806798566881
ENSGACG00000019085,f13a1b,4.562585805455354,3.711515524536636,0.013466760391613649
ENSGACG00000016924,fermt3b,3.2132619946676946,3.309307334550417,0.07423688799362636
ENSGACG00000016598,ak1,1.2360594033127836,2.4427591887263693,0.42090246373110823
ENSGACG00000017697,ENSGACG00000017697,1.0932477591053305,2.393501728721268,0.47158310412086507
ENSGACG00000011294,tpm4a,1.428116442074531,2.161143332091682,0.6428625331416533
ENSGACG00000003243,pdlim1,1.703890651578578,2.0475220544086996,0.7233222149144609
ENSGACG00000012370,fkbp1b,1.2532952914067865,2.0249272781572154,0.7367411624688157
ENSGACG00000007536,ENSGACG00000007536,3.4668757766223095,2.268815281322667,0.7985541513563794
ENSGACG00000011807,tmem189,1.3074652254165102,1.9229128680949463,0.8086290123823071
ENSGACG00000003471,tubb2b,1.351786080515375,1.1239799681379237,0.9290363274946932
ENSGACG00000004060,dynll1,1.09817229856076,0.5926163019932216,0.9290363274946932
ENSGACG00000005726,pcna,1.0415400948233215,0.8857747180160702,0.9290363274946932
ENSGACG00000001066,ENSGACG00000001066,1.3222388437827983,0.4392705134651282,0.9290363274946932
ENSGACG00000001473,ENSGACG00000001473,1.021841937001604,1.1448888936455837,0.9290363274946932
ENSGACG00000010458,BRK1,1.595550783559131,0.41185476313805747,0.9290363274946932
ENSGACG00000005090,ENSGACG00000005090,1.8442400260583165,0.8979301473426647,0.9290363274946932
ENSGACG00000016482,hmgb2a,3.58752699328033,1.0648180965926153,0.9290363274946932
ENSGACG00000019097,prdx2,5.498248301986944,1.4520180205830848,0.9290363274946932
ENSGACG00000004038,psma3,1.2828425281393632,0.19713856799079765,0.9290363274946932
ENSGACG00000004818,ENSGACG00000004818,2.043683874003208,0.9864700724273975,0.9290363274946932
ENSGACG00000007324,ENSGACG00000007324,1.080936410466757,0.49683796646063555,0.9290363274946932
ENSGACG00000012607,ENSGACG00000012607,1.8762495325186077,0.7792867370270599,0.9290363274946932
ENSGACG00000012635,ENSGACG00000012635,1.2459084822236424,1.0458631519717239,0.9290363274946932
ENSGACG00000001954,ENSGACG00000001954,1.4404277907131045,0.13924608648394643,0.9290363274946932
ENSGACG00000002136,zgc:171480,1.3911823961588103,0.6699090148348977,0.9290363274946932
ENSGACG00000014467,serbp1a,1.849164565513746,0.09921455456392747,0.9290363274946932
ENSGACG00000000151,ENSGACG00000000151,1.713739730489437,0.8504165633135379,0.9290363274946932
ENSGACG00000005947,sla1,1.6078621321977045,0.850670827443626,0.9290363274946932
ENSGACG00000000082,ENSGACG00000000082,1.9304194665283314,1.745123431777795,0.9290363274946932
ENSGACG00000000061,cnbpa,1.967353512444052,0.25714583234957666,0.9290363274946932
ENSGACG00000011456,ada,1.2631443703176455,0.8665280835846546,0.9290363274946932
ENSGACG00000010310,ppdpfb,4.072594129640128,1.0203522493732526,0.9290363274946932
ENSGACG00000008944,ENSGACG00000008944,3.402856763701727,1.7520916675464009,0.9290363274946932
ENSGACG00000017191,eef1da,1.807305980142596,0.27578179849085216,0.9290363274946932
ENSGACG00000017667,eif3f,1.3099274951442248,0.14882703346566817,0.9290363274946932
