FeatureID,FeatureName,Cluster 13 Average,Cluster 13 Log2 Fold Change,Cluster 13 P-Value
ENSGACG00000012769,ENSGACG00000012769,228.49731848225125,8.82726534044164,2.8067230055443625e-95
ENSGACG00000012783,ENSGACG00000012783,6.273487946357924,6.265259571559662,4.8147780012291497e-32
ENSGACG00000003094,ENSGACG00000003094,1.1294870241893418,6.018825229305882,1.0383315837039132e-24
ENSGACG00000012799,ENSGACG00000012799,1.1544095092773679,5.838821331480346,1.9202166870467025e-24
ENSGACG00000013618,gadd45bb,1.1693630003301836,5.38237088531514,6.604039752721628e-19
ENSGACG00000012763,ENSGACG00000012763,1.9020840619181503,6.208485742903972,6.115035768234874e-17
ENSGACG00000010720,ENSGACG00000010720,5.524816494313621,4.825464297571548,3.3851884871019404e-13
ENSGACG00000009519,ENSGACG00000009519,8.012080506098624,4.723337815093405,1.889860631712792e-12
ENSGACG00000009514,ENSGACG00000009514,1.1952823848217307,4.57087893767342,1.2541001320586652e-10
ENSGACG00000002512,pdia4,1.7196514710737993,4.15257283937134,3.876758913308003e-08
ENSGACG00000020678,prdx4,4.012520099172199,3.9273320247439716,5.817227841005043e-07
ENSGACG00000009315,ENSGACG00000009315,1.2212017693132777,4.003195031690877,1.937072543156189e-06
ENSGACG00000017163,ENSGACG00000017163,13.25477446921579,3.469493524409023,0.00011653901828007751
ENSGACG00000014423,cnpy1,1.3896777685083341,3.0538785614812394,0.0045049968965086866
ENSGACG00000013745,thrap3a,1.2471211538048248,2.982488093930707,0.007293917156869952
ENSGACG00000010801,ENSGACG00000010801,27.310059159458973,2.9071095536674,0.011565554352776444
ENSGACG00000018016,cd74a,22.192974521185462,2.659740533325479,0.05003386111454616
ENSGACG00000003230,cd79a,1.5681227617386007,2.6534879414925006,0.05267851286211168
ENSGACG00000000330,ENSGACG00000000330,3.0176144944581975,2.5666174490812317,0.07962548634983975
ENSGACG00000016427,spcs3,3.2498920554786004,2.4077251641140256,0.16587987338128257
ENSGACG00000014266,xbp1,2.5121864968730283,2.2887876980481883,0.2716013147755538
ENSGACG00000001305,ssr2,3.6885277930278595,2.2874373193896096,0.2716013147755538
ENSGACG00000004690,si:ch1073-406l10.2,1.8153538138118195,2.2850957626992585,0.29626490750254597
ENSGACG00000008662,ssr4,2.4693198225216237,2.0665129704468024,0.5628897960803161
ENSGACG00000015958,irf8,1.9140468547604026,2.081927345824852,0.5628897960803161
ENSGACG00000000344,ENSGACG00000000344,6.160838313760046,1.8762356237144775,0.8975588675537313
ENSGACG00000003653,zgc:64051,3.776254940537711,0.306446730796218,1
ENSGACG00000003574,rpl35,12.900875180965818,0.27832257401200167,1
ENSGACG00000004055,rpl6,10.82832132104557,0.2903130775455365,1
ENSGACG00000007298,tspan36,1.1962792842252516,1.3320262342177274,1
ENSGACG00000005108,psap,5.41914515754039,1.4734777856514782,1
ENSGACG00000008736,rps24,14.751120473900874,0.2116062822546283,1
ENSGACG00000011558,rps27a,22.40032959711784,0.22626341432464958,1
ENSGACG00000003895,rps23,11.63182224028353,0.17680126233979188,1
ENSGACG00000004372,rpl22,7.512633904934581,0.2797696935986065,1
ENSGACG00000004926,rps10,14.963460046850857,0.24276039713628705,1
ENSGACG00000007041,rpl29,5.771050646983318,0.08627597035660806,1
ENSGACG00000000741,rps26,10.870191095993453,0.183479339788013,1
ENSGACG00000003288,rpl38,4.021492193803888,0.12396436897874974,1
