FeatureID,FeatureName,ROB Average,ROB Log2 Fold Change,ROB P-Value,SAY Average,SAY Log2 Fold Change,SAY P-Value
ENSGACG00000006358,ENSGACG00000006358,0.1947409733124019,-4.321010554315446,0.2559491986302187,4.220834991150686,4.321010554315446,0.2559491986302192
ENSGACG00000003653,zgc:64051,1.2658163265306124,-0.510625067276424,1,1.8154128994196497,0.510625067276424,1
ENSGACG00000003574,rpl35,6.475137362637363,0.21510406681894745,1,5.605087326958168,-0.21510406681894745,1
ENSGACG00000004055,rpl6,5.17686420722135,0.0018822313740849417,1,5.196619424588747,-0.0018822313740849417,1
ENSGACG00000006905,c7a,2.466718995290424,-1.0373469322914386,1,5.105848779617765,1.0373469322914386,1
ENSGACG00000011546,anxa1a,1.639069858712716,-0.050057984040992265,1,1.7019495932059217,0.050057984040992265,1
ENSGACG00000014527,fbp2,1.1522174254317112,1.0515129990986856,1,0.544623869825895,-1.0515129990986856,1
ENSGACG00000014744,gstt1a,1.0548469387755102,0.3219107933459655,1,0.839628465981588,-0.3219107933459655,1
ENSGACG00000001108,ENSGACG00000001108,3.08339874411303,0.7453210108487626,1,1.8381055606623953,-0.7453210108487626,1
ENSGACG00000004652,ENSGACG00000004652,4.1869309262166405,0.519884662089197,1,2.927353300314185,-0.519884662089197,1
ENSGACG00000004750,cfl1l,1.02239010989011,-0.2819107346265065,1,1.2480963683510091,0.2819107346265065,1
ENSGACG00000005108,psap,1.9798665620094194,-1.154093126686039,1,4.447761603578142,1.154093126686039,1
ENSGACG00000006921,ENSGACG00000006921,4.625098116169545,1.3633874293221249,1,1.792720238176904,-1.3633874293221249,1
ENSGACG00000008736,rps24,7.416385400313972,-0.14314666467065473,1,8.23743603111666,0.14314666467065473,1
ENSGACG00000010801,ENSGACG00000010801,3.7649921507064366,-0.7802946693569344,1,6.512793776667993,0.7802946693569344,1
ENSGACG00000011558,rps27a,9.444937205651492,-0.21794107693129217,1,11.051326025217119,0.21794107693129217,1
ENSGACG00000003124,pltp,0.5355376766091052,-1.1419804734820314,1,1.202711045865518,1.1419804734820314,1
ENSGACG00000003551,ENSGACG00000003551,1.5579277864992152,-0.9080659719192252,1,2.9500459615569308,0.9080659719192252,1
ENSGACG00000003555,ENSGACG00000003555,1.02239010989011,-1.0595183132900585,1,2.155802818060834,1.0595183132900585,1
