FeatureID,FeatureName,GOS Average,GOS Log2 Fold Change,GOS P-Value,SAY Average,SAY Log2 Fold Change,SAY P-Value
ENSGACG00000009171,ENSGACG00000009171,0.006395056282440194,-8.04077891992724,2.140001700525872e-97,1.738508559329904,8.04077891992724,2.140001700525872e-97
ENSGACG00000001460,ENSGACG00000001460,1.464880472955091,-1.9072990752588828,3.1803084210749257e-11,5.497376734034353,1.9072990752588828,3.1803084210749864e-11
ENSGACG00000004949,ENSGACG00000004949,1.8153708156604422,2.538671966917687,2.5604878248617653e-10,0.31195787339486486,-2.538671966917687,2.560487824861783e-10
ENSGACG00000002918,ENSGACG00000002918,1.1525541758062376,1.8197204313150899,3.2892330977983543e-06,0.3260504261970969,-1.8197204313150899,3.2892330977983543e-06
ENSGACG00000006358,ENSGACG00000006358,0.3521406798104972,-1.55416166036682,1.3637678602152717e-05,1.034521489800219,1.55416166036682,1.3637678602152808e-05
ENSGACG00000004690,si:ch1073-406l10.2,3.933991074391436,1.6178241777429734,4.549178061116379e-05,1.2817817344212004,-1.6178241777429734,4.549178061116046e-05
ENSGACG00000004257,gfi1ab,0.8534305754985511,-1.1753515001001833,0.0010557359123357594,1.9281174515781174,1.1753515001001833,0.0010557359123357438
ENSGACG00000004818,ENSGACG00000004818,1.3252206954321228,1.3394812687913387,0.0015654704066314486,0.5233461654283461,-1.3394812687913387,0.0015654704066314514
ENSGACG00000001834,ENSGACG00000001834,0.5417231547641275,-1.1164062998324584,0.0019064916838515355,1.1748064472406203,1.1164062998324584,0.0019064916838515392
ENSGACG00000010476,fosab,1.2241375477419392,1.3216739397137394,0.004556534155283519,0.4893959245866052,-1.3216739397137394,0.004556534155283535
ENSGACG00000005291,ENSGACG00000005291,0.7977316981998784,-1.0425379383340927,0.0076971685939401496,1.643704113205797,1.0425379383340927,0.007697168593939935
ENSGACG00000000350,ENSGACG00000000350,2.748430156482281,1.0961536474880638,0.016188341138488167,1.285625157912718,-1.0961536474880638,0.016188341138488428
ENSGACG00000017163,ENSGACG00000017163,0.46065034447383724,-1.199499976044514,0.023202499503561538,1.058222601331246,1.199499976044514,0.023202499503561715
ENSGACG00000019326,ponzr1,1.0782890060746742,-0.9031351247147235,0.03397808873523714,2.0171567624649476,0.9031351247147235,0.03397808873523667
ENSGACG00000016901,ENSGACG00000016901,2.08520093235179,0.9499214117487342,0.07003480082193854,1.079361430534594,-0.9499214117487342,0.07003480082193854
ENSGACG00000013895,ENSGACG00000013895,5.6581807649925695,-0.8403635685295412,0.13457664650420942,10.13510774713255,0.8403635685295412,0.13457664650420706
ENSGACG00000019805,btg1,1.9692647507152934,0.793999012444678,0.23191037493959096,1.1357316417435224,-0.793999012444678,0.23191037493959096
ENSGACG00000017701,ENSGACG00000017701,1.2101096823481994,0.7615368446281825,0.2916152809727243,0.7135956282584793,-0.7615368446281825,0.29161528097272543
ENSGACG00000008253,ENSGACG00000008253,2.0845820559373602,0.7544968952269945,0.29424244290061136,1.2356606525229863,-0.7544968952269945,0.2942424429006462
ENSGACG00000020940,ENSGACG00000020940,23.704204425486225,0.7579485839488918,0.2981784591416352,14.022730608802846,-0.7579485839488918,0.29817845914161933
ENSGACG00000015943,cyba,1.08633439946226,-0.6441417531941463,0.4101774016576854,1.6981526126689666,0.6441417531941463,0.41017740165767635
ENSGACG00000020876,irf1b,0.6510579879800404,-0.6381494320597114,0.4170449974408932,1.013382660596871,0.6381494320597114,0.4170449974408023
ENSGACG00000020358,tagln2,2.1710184618193744,0.6776416261550436,0.45034911830338464,1.3573690630877178,-0.6776416261550436,0.4503491183033703
ENSGACG00000005841,ENSGACG00000005841,1.5001564285775837,0.6894734360934592,0.4673369401581326,0.9301084849473178,-0.6894734360934592,0.46733694015810046
ENSGACG00000007379,stmn1b,7.139770901137262,0.6610838082358912,0.49983725483177016,4.516663173115384,-0.6610838082358912,0.499837254831771
ENSGACG00000010801,ENSGACG00000010801,5.906143915040734,0.646951165133387,0.5291320164483271,3.7729607275066814,-0.646951165133387,0.5291320164483512
ENSGACG00000006713,ENSGACG00000006713,2.152039585110197,-0.5621727337760856,0.591481160716285,3.1785112274852554,0.5621727337760856,0.5914811607162829
ENSGACG00000009435,ENSGACG00000009435,1.4558036188767889,0.5604142276291746,0.7725750592626301,0.9871192667381657,-0.5604142276291746,0.7725750592625248
ENSGACG00000000151,ENSGACG00000000151,1.8789087942085578,0.5431865608643875,0.8089457628396302,1.289468581404236,-0.5431865608643875,0.8089457628396249
ENSGACG00000005778,dap1b,3.303974884502005,0.5251141242817776,0.8526151701405206,2.2964455361819107,-0.5251141242817776,0.8526151701405212
ENSGACG00000015161,atic,0.7762773158329823,-0.46421325454533124,0.8870948563512157,1.0710340129696385,0.46421325454533124,0.887094856351214
ENSGACG00000006229,fkbp2,1.0993308041652838,-0.4507247461121473,0.9211405643807269,1.5027785851834763,0.4507247461121473,0.9211405643807269
ENSGACG00000013470,CTSS,0.7542040570516565,-0.45580900864594226,0.9211405643807269,1.034521489800219,0.45580900864594226,0.9211405643807269
ENSGACG00000002643,cct5,2.273133070200274,0.4718660713356424,0.9701642183600616,1.6392201191323597,-0.4718660713356424,0.9701642183600622
ENSGACG00000005380,eif3ea,1.9832926161090332,0.46903438401535025,0.974823675156507,1.4329563917542354,-0.46903438401535025,0.974823675156507
ENSGACG00000011650,tegt,1.10675732113844,0.4632672692229665,0.9962545952608511,0.8026349391453094,-0.4632672692229665,0.996254595260925
ENSGACG00000003912,sub1b,1.0386809155511736,0.19947438014956187,1,0.9044856616705321,-0.19947438014956187,1
ENSGACG00000003653,zgc:64051,2.926047687423604,0.21442239131216279,1,2.5225669515995435,-0.21442239131216279,1
ENSGACG00000003574,rpl35,22.377333392948955,0.03598428717773228,1,21.83512942589478,-0.03598428717773228,1
ENSGACG00000003471,tubb2b,1.9684395821627205,0.3477799807000753,1,1.5469779553359313,-0.3477799807000753,1
ENSGACG00000004055,rpl6,19.037051092133744,-0.013709265283584848,1,19.226726016318004,0.013709265283584848,1
ENSGACG00000004060,dynll1,1.6162989023522234,0.20382716207154494,1,1.403490144985932,-0.20382716207154494,1
ENSGACG00000005077,zgc:86811,1.1181033887363179,0.042380399787041556,1,1.0857671363537904,-0.042380399787041556,1
ENSGACG00000005726,pcna,2.1930917206007003,0.2965507330123469,1,1.7859107823919573,-0.2965507330123469,1
ENSGACG00000006793,gadd45ga,1.9690584585771502,0.2362514415038467,1,1.6718892188102612,-0.2362514415038467,1
ENSGACG00000012630,cox6a1,1.143064737451649,0.019150349325488092,1,1.1280447947604866,-0.019150349325488092,1
ENSGACG00000014618,h2afva,6.291291336954148,0.4061536015920928,1,4.749190294352213,-0.4061536015920928,1
ENSGACG00000014527,fbp2,0.8183609120142017,-0.36284071053032313,1,1.052457466093969,0.36284071053032313,1
ENSGACG00000001108,ENSGACG00000001108,15.449630809822937,0.2793255538893247,1,12.73518373914437,-0.2793255538893247,1
ENSGACG00000001066,ENSGACG00000001066,1.9942260994306245,0.25126111148203256,1,1.675732642301779,-0.25126111148203256,1
ENSGACG00000002408,aprt,1.0588975450892102,0.34863942789202185,1,0.8314606153316931,-0.34863942789202185,1
