FeatureID,FeatureName,GOS Average,GOS Log2 Fold Change,GOS P-Value,ROB Average,ROB Log2 Fold Change,ROB P-Value
ENSGACG00000010752,cd63,2.2127689910276076,1.5369622091739767,0.01081567755726089,0.7589202056544094,-1.5369622091739767,0.010815677557260909
ENSGACG00000020286,prdx5,0.5382411059256343,-1.5654006453021103,0.034638726406363736,1.6041630887292258,1.5654006453021103,0.034638726406363674
ENSGACG00000019128,ENSGACG00000019128,0.3588274039504229,-1.7720901428489415,0.036144887050231514,1.2408884879183473,1.7720901428489415,0.03614488705023158
ENSGACG00000008253,ENSGACG00000008253,1.6280132216269187,1.397428121900266,0.03972589693299868,0.6150490766203982,-1.397428121900266,0.03972589693299868
ENSGACG00000008037,zgc:56095,1.4685343754267306,-1.4498192328700852,0.06560236852628273,4.014004500048914,1.4498192328700852,0.06560236852628283
ENSGACG00000018028,spock3,0.5847557694006892,-1.4375040641205845,0.16005633305984188,1.5933727540516749,1.4375040641205845,0.16005633305984188
ENSGACG00000006710,ENSGACG00000006710,0.4518567309005325,-1.7002951433781524,0.18966158313475376,1.4818726290503161,1.7002951433781524,0.18966158313475376
ENSGACG00000018552,sh3bgrl,1.9934855775023494,-1.2591546073473676,0.26135116335181674,4.769327927477474,1.2591546073473676,0.26135116335181624
ENSGACG00000008944,ENSGACG00000008944,1.5216939908267935,-1.212910792107194,0.3987790673888712,3.5284394395591265,1.212910792107194,0.3987790673888719
ENSGACG00000014576,ENSGACG00000014576,15.190360100567903,-1.1167699918400542,0.4229496770023197,32.85297231491647,1.1167699918400542,0.42294967700232394
ENSGACG00000005985,tagln,1.8007819716771223,-1.2468917872321927,0.4803117377242194,4.272972532310135,1.2468917872321927,0.4803117377242194
ENSGACG00000009706,csrp1a,0.41863197127549334,-1.3086461876168936,0.4907464603551688,1.046662463722432,1.3086461876168936,0.49074646035516967
ENSGACG00000010801,ENSGACG00000010801,3.4022153856040096,1.1939954154507324,0.5647408409281164,1.4818726290503161,-1.1939954154507324,0.5647408409281164
ENSGACG00000004588,boka,0.4850814905255717,-1.1947704819701745,0.7651109484380674,1.1185980282394377,1.1947704819701745,0.7651109484380674
ENSGACG00000020333,msna,0.5382411059256343,-1.1275918383646086,0.8731564535117144,1.1833400363047426,1.1275918383646086,0.8731564535117152
ENSGACG00000003653,zgc:64051,1.2492509619014722,-0.2639383365966862,1,1.4998565201795675,0.2639383365966862,1
ENSGACG00000003574,rpl35,8.837786060260415,0.32725847520663054,1,7.0245078750856,-0.32725847520663054,1
ENSGACG00000004055,rpl6,7.508795675258849,0.5257123787212201,1,5.200941314579508,-0.5257123787212201,1
ENSGACG00000004060,dynll1,0.5581759617006579,-0.8642488016512786,1,1.02148501614148,0.8642488016512786,1
ENSGACG00000014618,h2afva,1.9536158659523024,0.09139607865346944,1,1.8307601169577934,-0.09139607865346944,1
ENSGACG00000014527,fbp2,0.5382411059256343,-1.123213397854034,1,1.1797432580788925,1.123213397854034,1
ENSGACG00000001108,ENSGACG00000001108,5.156482693806077,0.3281310506187296,1,4.096730399243471,-0.3281310506187296,1
ENSGACG00000001066,ENSGACG00000001066,1.056547356076245,-0.044821047293099436,1,1.0898238024326354,0.044821047293099436,1
ENSGACG00000003243,pdlim1,0.9502281252761199,-0.837639876192823,1,1.7012761008271833,0.837639876192823,1
ENSGACG00000004750,cfl1l,1.7409774043520518,-0.5677426732676254,1,2.578889987934652,0.5677426732676254,1
ENSGACG00000008736,rps24,10.924300964712874,0.38887709077823773,1,8.319348036391702,-0.38887709077823773,1
ENSGACG00000011558,rps27a,16.067493754668934,0.3310249284911344,1,12.736191697735848,-0.3310249284911344,1
ENSGACG00000003895,rps23,8.55205312748508,0.33251199976495727,1,6.77273339927608,-0.33251199976495727,1
ENSGACG00000004372,rpl22,5.262801924606203,0.15041165323186068,1,4.7297633669931205,-0.15041165323186068,1
ENSGACG00000004926,rps10,9.694984858586427,0.27788737486879356,1,7.974057326710074,-0.27788737486879356,1
