FeatureID,FeatureName,ROB Average,ROB Log2 Fold Change,ROB P-Value,SAY Average,SAY Log2 Fold Change,SAY P-Value
ENSGACG00000009171,ENSGACG00000009171,0.0006378865513773372,-11.027903399878163,1.0547137721243395e-197,1.4270417772832191,11.027903399878163,1.0547137721243395e-197
ENSGACG00000013895,ENSGACG00000013895,0.5231125354545149,-3.011730361212001,4.7392292940123634e-23,4.219738877674619,3.011730361212001,4.739229294013013e-23
ENSGACG00000011676,ENSGACG00000011676,0.20293904998818998,-2.4792943557409535,3.627077761748338e-18,1.131861069423899,2.4792943557409535,3.627077761748464e-18
ENSGACG00000010177,zgc:110626,0.45253494487712237,-2.119362893127108,1.7732392442059587e-13,1.9665312952094465,2.119362893127108,1.7732392442059536e-13
ENSGACG00000012951,ENSGACG00000012951,5.090425806641348,2.1815312886826357,1.694839590121799e-08,1.122119642187054,-2.1815312886826357,1.6948395901217616e-08
ENSGACG00000020286,prdx5,2.9612060614688946,2.1652751068347564,2.1247833647308202e-08,0.6600976646681181,-2.1652751068347564,2.1247833647305777e-08
ENSGACG00000000834,npsn,1.7923245193950224,-1.6353533564346494,8.781766978796736e-08,5.568694611233921,1.6353533564346494,8.781766978796122e-08
ENSGACG00000008253,ENSGACG00000008253,0.5034291790120142,-1.59345565431367,2.3641288340202922e-07,1.5193533972895126,1.59345565431367,2.3641288340202922e-07
ENSGACG00000014415,npsn,73.17597588110301,1.5857106966320726,7.017081787337799e-05,24.38186461884818,-1.5857106966320726,7.017081787336512e-05
ENSGACG00000014492,hbae5,2.3024515071964986,-1.3257215435433065,9.689953738375203e-05,5.77187295074526,1.3257215435433065,9.689953738376048e-05
ENSGACG00000006713,ENSGACG00000006713,0.8226002713261747,-1.202473416568882,0.0004470062366896416,1.8932386521893745,1.202473416568882,0.00044700623668957995
ENSGACG00000015247,nme2a,1.324480297284844,-0.813294868060273,0.08116196354729581,2.327582606289338,0.813294868060273,0.08116196354729581
ENSGACG00000015484,fth1b,1.7273967811298292,-0.7950760175349555,0.09681772575740384,2.9975763240234574,0.7950760175349555,0.09681772575740567
ENSGACG00000008035,mmp9,1.0877332600736551,0.883762805735235,0.11743715069547832,0.5894336607437026,-0.883762805735235,0.1174371506954812
ENSGACG00000013220,tmem176l.1,1.5139781663690115,-0.758461479775733,0.13025579334018048,2.5613768599736186,0.758461479775733,0.1302557933401841
ENSGACG00000013902,ENSGACG00000013902,1.1374884110810874,-0.7254506890134199,0.1835682347251472,1.8808685858568728,0.7254506890134199,0.1835682347251472
ENSGACG00000010310,ppdpfb,2.090582045489026,-0.6651273764987211,0.2792045281194437,3.315332402939593,0.6651273764987211,0.27920452811943425
ENSGACG00000006710,ENSGACG00000006710,2.213603023254655,0.7416139807676357,0.2937008699324438,1.3239063492359868,-0.7416139807676357,0.2937008699324423
ENSGACG00000009950,tpi1b,0.8440150341224139,-0.6365321029903942,0.33558927735506827,1.3121547862201104,0.6365321029903942,0.33558927735506827
ENSGACG00000016482,hmgb2a,1.2387756827747889,-0.6246342081367006,0.37103960922953144,1.9100928675674078,0.6246342081367006,0.37103960922953144
ENSGACG00000004430,rpia,1.405628579285061,0.6562450219827702,0.45733095234139237,0.8918817825733675,-0.6562450219827702,0.4573309523413898
